Component Name		Component ID
Sphere1			S6
radius			S8
Torso			S9
Sphere2			S10
clavicle			S11
clavicle_right			S12
Head			S13
Sphere3			S14
palm			S15
LowerBody			S16
Sphere4			S18
Sphere5			S22
Sphere6			S26
Middle Distal			S111
Index Distal			S112
Middle Medial			S113
Index Medial			S114
Little Distal			S115
Ring Distal			S116
Middle Proximal			S117
Index Proximal			S118
Little Medial			S119
Ring Medial			S1110
MCP Ring			S1111
MCP Middle			S1112
MCP Index			S1113
Little Finger Proximal			S1114
Ring Proximal			S1115
Thumb Proximal			S1116
Thumb Medial Cover_1			S1117
Distal Cover_1			S1118
MCP Little Finger			S1119
Wrist Deviation			S1120
Wrist Flex			S1121
Palm Assembly			S1122
Thumb Roll			S1123
SHOULDER GEARMOTOR ASSEMBLY			S1124
SHOULDER TO HR			S1125
INTRINSIC HR TO ELBOW_1			S1126
INTRINSIC ELBOW OUTPUT TO WRIST ASSEMBLY_1			S1127
Wrist Rotator			S1128
SHOULDER TO SOCKET_1			S1129
humerus			S17783
ulna			S22270

Sphere1J			J7
Sphere2J			J11
Sphere3J			J15
Sphere4J			J19
Sphere5J			J23
Sphere6J			J27
GlenoHumeral			J36
RadioCarpal			J37
RadioUlnar			J38
SternoClavicular			J39
SternoClavicularR			J40
Neck			J41
HumeroUlnar			J42
baseJoint			J43
TorsoJoint			J44
Wrist Rotator__Wrist Deviation			J111
Wrist Deviation__Wrist Flex			J112
Middle Medial__Middle Distal			J113
Ring Medial__Ring Distal			J114
Ring Medial__Ring Proximal			J115
Thumb Medial Cover__Distal Cover			J116
Thumb Proximal__Thumb Medial Cover			J117
Middle Proximal__Middle Medial			J118
Thumb Roll__Thumb Proximal			J119
Little Medial__Little Proximal			J1110
MCP Little Finger__Little Finger Proximal			J1111
Index Medial__Index Distal			J1112
Index Proximal__Index Medial			J1113
Little Medial__Little Distal			J1114
MCP Index Finger__Index Proximal			J1115
MCP Middle Finger__Middle Proximal			J1116
INTRINSIC ELBOW OUTPUT TO WRIST__Wrist Rotator			J1117
Palm Assembly__Thumb Roll			J1118
Palm Assembly__MCP Little Finger			J1119
Palm Assembly___MCP Middle Finger			J1120
Wrist Flex Assembly__Palm Assembly			J1121
Palm Assembly__MCP Ring Finger			J1122
Palm Assembly__MCP Index Finger			J1123
SHOULDER GEARMOTOR__SHOULDER TO HR			J1124
SHOULDER TO HR__INTRINSIC HR TO ELBOW			J1125
INTRINSIC HR TO ELBOW__INTRINSIC ELBOW OUTPUT TO WRIST ASSEMBLY			J1126
SHOULDER TO SOCKET__SHOULDER GEARMOTOR ASSEMBLY			J1127
MCP Ring Finger__Ring Proximal			J1128
SocketToShoulder			J1129




NeckRotZ			EA57
NeckRotY			EA58
NeckRotX			EA59

EyeLocation			PS72



